ID,recency,history_segment,history,mens,womens,zip_code,newbie,channel,segment,DM_category
60925,1,2) $100 - $200,129.8,0,1,Surburban,0,Phone,Womens E-Mail,1
60926,1,1) $0 - $100,47.28,0,1,Urban,0,Phone,No E-Mail,5
60927,4,1) $0 - $100,29.99,0,1,Surburban,0,Phone,Womens E-Mail,1
60928,7,1) $0 - $100,58.16,0,1,Surburban,1,Phone,Womens E-Mail,1
60929,5,1) $0 - $100,46.68,0,1,Surburban,1,Web,No E-Mail,5
60930,8,3) $200 - $350,336.78,0,1,Surburban,0,Phone,No E-Mail,5
60931,11,2) $100 - $200,138.92,1,0,Rural,1,Web,Mens E-Mail,2
60932,9,1) $0 - $100,29.99,1,0,Urban,0,Phone,No E-Mail,6
60933,8,1) $0 - $100,53.37,1,0,Rural,1,Web,Womens E-Mail,4
60934,10,2) $100 - $200,170.74,0,1,Surburban,1,Web,Mens E-Mail,3
60935,9,3) $200 - $350,276.19,1,0,Urban,0,Web,Mens E-Mail,2
60936,7,2) $100 - $200,152.93,1,0,Surburban,0,Web,No E-Mail,6
60937,2,2) $100 - $200,116.75,1,0,Urban,0,Web,Womens E-Mail,4
60938,2,1) $0 - $100,29.99,1,0,Urban,0,Web,No E-Mail,6
60939,9,1) $0 - $100,38.23,1,0,Urban,1,Web,No E-Mail,6
60940,2,4) $350 - $500,426.52,0,1,Urban,0,Web,Womens E-Mail,1
60941,10,5) $500 - $750,749.2,1,1,Urban,1,Phone,Womens E-Mail,5
60942,3,1) $0 - $100,46.0,0,1,Urban,0,Phone,Mens E-Mail,3
60943,7,4) $350 - $500,429.46,0,1,Urban,0,Phone,Womens E-Mail,1
60944,2,3) $200 - $350,205.54,0,1,Urban,0,Web,No E-Mail,5
60945,10,1) $0 - $100,48.14,1,0,Urban,1,Phone,No E-Mail,6
60946,1,3) $200 - $350,211.19,0,1,Rural,0,Web,Womens E-Mail,1
60947,2,4) $350 - $500,408.8,0,1,Urban,0,Multichannel,Mens E-Mail,3
60948,5,3) $200 - $350,213.9,1,1,Urban,1,Web,Womens E-Mail,5
60949,3,3) $200 - $350,254.97,1,0,Urban,1,Multichannel,Mens E-Mail,2
60950,7,3) $200 - $350,345.74,0,1,Urban,1,Phone,No E-Mail,5
60951,5,2) $100 - $200,151.91,1,0,Urban,1,Web,Womens E-Mail,4
60952,1,4) $350 - $500,451.07,1,0,Urban,0,Multichannel,Womens E-Mail,4
60953,7,2) $100 - $200,175.92,0,1,Urban,1,Web,No E-Mail,5
60954,7,4) $350 - $500,356.6,0,1,Surburban,0,Phone,Mens E-Mail,3
60955,8,3) $200 - $350,299.93,0,1,Surburban,0,Web,Mens E-Mail,3
60956,1,3) $200 - $350,214.7,0,1,Urban,1,Multichannel,Womens E-Mail,1
60957,5,3) $200 - $350,298.48,1,0,Surburban,1,Phone,Womens E-Mail,4
60958,4,1) $0 - $100,29.99,1,0,Urban,0,Phone,Mens E-Mail,2
60959,7,1) $0 - $100,29.99,0,1,Urban,1,Web,No E-Mail,5
60960,11,1) $0 - $100,29.99,1,0,Surburban,1,Web,No E-Mail,6
60961,3,1) $0 - $100,45.87,1,0,Surburban,1,Phone,Womens E-Mail,4
60962,6,3) $200 - $350,228.79,0,1,Urban,1,Web,Mens E-Mail,3
60963,2,"7) $1,000 +",1552.79,1,1,Surburban,1,Multichannel,No E-Mail,11
60964,11,1) $0 - $100,29.99,1,0,Urban,0,Web,Mens E-Mail,2
60965,10,1) $0 - $100,54.5,0,1,Urban,1,Phone,Mens E-Mail,3
60966,3,3) $200 - $350,249.61,0,1,Rural,1,Web,No E-Mail,5
60967,6,2) $100 - $200,155.75,0,1,Surburban,1,Phone,Mens E-Mail,3
60968,9,3) $200 - $350,216.56,1,0,Surburban,0,Phone,Womens E-Mail,4
60969,2,3) $200 - $350,260.81,1,0,Surburban,0,Web,Womens E-Mail,4
60970,10,2) $100 - $200,182.25,0,1,Urban,1,Phone,No E-Mail,5
60971,7,2) $100 - $200,171.61,0,1,Surburban,0,Web,Womens E-Mail,1
60972,6,1) $0 - $100,93.13,0,1,Surburban,0,Phone,Mens E-Mail,3
60973,10,3) $200 - $350,248.05,1,0,Rural,1,Multichannel,Mens E-Mail,2
60974,1,"7) $1,000 +",1374.91,1,1,Surburban,1,Multichannel,Mens E-Mail,5
60975,6,3) $200 - $350,229.73,1,0,Surburban,0,Phone,Womens E-Mail,4
60976,1,1) $0 - $100,70.73,0,1,Urban,0,Web,Womens E-Mail,1
60977,3,5) $500 - $750,744.72,0,1,Urban,1,Multichannel,Womens E-Mail,1
60978,1,1) $0 - $100,76.58,1,0,Urban,1,Phone,No E-Mail,6
60979,2,3) $200 - $350,212.58,1,0,Urban,1,Multichannel,No E-Mail,6
60980,6,3) $200 - $350,304.09,1,0,Urban,0,Multichannel,Mens E-Mail,2
60981,11,1) $0 - $100,29.99,0,1,Surburban,0,Phone,Mens E-Mail,3
60982,1,4) $350 - $500,493.48,0,1,Surburban,1,Multichannel,No E-Mail,5
60983,7,2) $100 - $200,117.65,0,1,Surburban,0,Phone,Mens E-Mail,3
60984,8,1) $0 - $100,30.15,1,0,Surburban,1,Phone,Mens E-Mail,2
60985,11,"6) $750 - $1,000",767.98,0,1,Rural,1,Multichannel,No E-Mail,5
60986,8,2) $100 - $200,101.74,0,1,Surburban,1,Phone,Womens E-Mail,1
60987,9,3) $200 - $350,228.0,0,1,Surburban,1,Phone,Womens E-Mail,1
60988,1,5) $500 - $750,628.15,1,0,Surburban,1,Web,Mens E-Mail,2
60989,12,3) $200 - $350,204.22,1,0,Surburban,1,Web,Mens E-Mail,2
60990,3,1) $0 - $100,93.54,1,0,Surburban,0,Phone,No E-Mail,6
60991,11,1) $0 - $100,39.26,0,1,Surburban,0,Web,Womens E-Mail,1
60992,3,2) $100 - $200,150.18,1,0,Surburban,1,Phone,Mens E-Mail,2
60993,6,1) $0 - $100,29.99,1,0,Rural,1,Phone,Womens E-Mail,4
60994,2,5) $500 - $750,565.12,1,0,Surburban,1,Multichannel,Womens E-Mail,4
60995,10,4) $350 - $500,389.23,1,0,Urban,0,Phone,No E-Mail,6
60996,10,1) $0 - $100,29.99,0,1,Urban,1,Phone,Mens E-Mail,3
60997,5,3) $200 - $350,330.44,1,0,Rural,0,Multichannel,Womens E-Mail,4
60998,7,3) $200 - $350,271.97,1,0,Surburban,1,Phone,Mens E-Mail,2
60999,5,2) $100 - $200,150.02,0,1,Rural,0,Phone,Mens E-Mail,3
61000,12,1) $0 - $100,48.24,0,1,Surburban,1,Web,Mens E-Mail,3
61001,2,3) $200 - $350,284.97,1,0,Surburban,1,Multichannel,Womens E-Mail,4
61002,2,4) $350 - $500,449.49,1,0,Rural,1,Web,Womens E-Mail,4
61003,9,4) $350 - $500,479.08,1,0,Urban,0,Multichannel,Mens E-Mail,2
61004,3,5) $500 - $750,623.62,1,1,Urban,1,Phone,Womens E-Mail,5
61005,4,3) $200 - $350,320.91,0,1,Surburban,0,Phone,No E-Mail,5
61006,4,2) $100 - $200,149.44,0,1,Surburban,0,Web,Mens E-Mail,3
61007,3,1) $0 - $100,29.99,1,0,Surburban,1,Phone,Womens E-Mail,4
61008,7,3) $200 - $350,348.78,0,1,Rural,1,Phone,No E-Mail,5
61009,6,1) $0 - $100,30.77,0,1,Rural,1,Web,Mens E-Mail,3
61010,5,3) $200 - $350,336.42,0,1,Surburban,0,Phone,Womens E-Mail,1
61011,5,1) $0 - $100,59.4,1,0,Surburban,0,Phone,Womens E-Mail,4
61012,5,1) $0 - $100,29.99,1,0,Urban,1,Phone,No E-Mail,6
61013,8,2) $100 - $200,104.79,1,0,Urban,1,Web,Womens E-Mail,4
61014,2,5) $500 - $750,644.66,1,1,Urban,1,Multichannel,Mens E-Mail,5
61015,4,1) $0 - $100,98.5,0,1,Surburban,0,Web,Womens E-Mail,1
61016,6,4) $350 - $500,353.69,1,1,Urban,0,Web,Mens E-Mail,5
61017,3,2) $100 - $200,163.25,0,1,Surburban,0,Web,No E-Mail,5
61018,1,2) $100 - $200,105.11,0,1,Rural,0,Web,Womens E-Mail,1
61019,6,2) $100 - $200,197.04,0,1,Surburban,0,Web,Mens E-Mail,3
61020,3,4) $350 - $500,359.29,0,1,Surburban,0,Phone,Mens E-Mail,3
61021,1,3) $200 - $350,264.45,0,1,Surburban,0,Multichannel,Mens E-Mail,3
61022,2,4) $350 - $500,361.9,0,1,Urban,1,Web,No E-Mail,5
61023,3,1) $0 - $100,80.56,1,0,Surburban,0,Web,No E-Mail,6
61024,11,2) $100 - $200,178.16,0,1,Surburban,0,Phone,No E-Mail,5
61025,12,1) $0 - $100,68.25,0,1,Surburban,1,Phone,No E-Mail,5
61026,7,2) $100 - $200,103.34,0,1,Urban,1,Phone,Mens E-Mail,3
61027,9,1) $0 - $100,29.99,1,0,Rural,1,Phone,Mens E-Mail,2
61028,8,5) $500 - $750,674.71,1,0,Urban,1,Phone,No E-Mail,6
61029,1,"7) $1,000 +",1172.27,1,0,Surburban,1,Multichannel,Mens E-Mail,2
61030,6,1) $0 - $100,83.71,1,0,Urban,0,Web,Mens E-Mail,2
61031,2,3) $200 - $350,309.05,1,0,Urban,1,Multichannel,No E-Mail,6
61032,3,3) $200 - $350,309.67,1,0,Urban,0,Web,Mens E-Mail,2
61033,9,3) $200 - $350,296.23,1,0,Urban,0,Web,No E-Mail,6
61034,11,1) $0 - $100,76.56,1,0,Urban,0,Web,No E-Mail,6
61035,3,1) $0 - $100,45.86,1,0,Urban,1,Web,No E-Mail,6
61036,8,1) $0 - $100,30.07,1,0,Surburban,0,Phone,Mens E-Mail,2
61037,2,5) $500 - $750,661.16,0,1,Urban,1,Multichannel,Womens E-Mail,1
61038,12,2) $100 - $200,148.97,0,1,Urban,1,Phone,Mens E-Mail,3
61039,3,2) $100 - $200,131.61,1,0,Surburban,1,Web,Mens E-Mail,2
61040,2,"7) $1,000 +",1501.34,0,1,Surburban,1,Web,No E-Mail,5
61041,5,2) $100 - $200,143.33,1,0,Surburban,0,Phone,Mens E-Mail,2
61042,3,2) $100 - $200,141.9,1,0,Urban,1,Web,Womens E-Mail,4
61043,8,5) $500 - $750,550.05,0,1,Surburban,1,Phone,Mens E-Mail,3
61044,5,2) $100 - $200,102.97,1,0,Urban,0,Phone,No E-Mail,6
61045,1,"7) $1,000 +",1018.3,1,0,Surburban,1,Multichannel,Womens E-Mail,4
61046,1,3) $200 - $350,302.45,1,0,Surburban,0,Web,Womens E-Mail,4
61047,1,2) $100 - $200,160.94,0,1,Urban,1,Phone,Mens E-Mail,3
61048,5,2) $100 - $200,114.81,0,1,Urban,1,Web,No E-Mail,5
61049,11,3) $200 - $350,250.22,0,1,Urban,1,Web,Womens E-Mail,1
61050,10,5) $500 - $750,531.37,0,1,Surburban,1,Phone,No E-Mail,5
61051,12,2) $100 - $200,164.82,1,0,Surburban,0,Phone,Womens E-Mail,4
61052,5,5) $500 - $750,608.53,1,1,Surburban,1,Web,Womens E-Mail,5
61053,5,1) $0 - $100,67.62,1,0,Urban,1,Phone,Mens E-Mail,2
61054,1,1) $0 - $100,53.87,0,1,Urban,0,Phone,No E-Mail,5
61055,11,1) $0 - $100,29.99,0,1,Surburban,0,Phone,No E-Mail,5
61056,6,2) $100 - $200,177.84,0,1,Surburban,0,Web,Womens E-Mail,1
61057,3,"6) $750 - $1,000",931.72,1,1,Surburban,1,Multichannel,Womens E-Mail,5
61058,8,2) $100 - $200,169.36,1,0,Surburban,1,Phone,Womens E-Mail,4
61059,9,2) $100 - $200,129.61,0,1,Rural,1,Web,No E-Mail,5
61060,11,1) $0 - $100,60.87,1,0,Urban,0,Web,No E-Mail,6
61061,1,4) $350 - $500,399.28,1,0,Surburban,0,Multichannel,Mens E-Mail,2
61062,7,2) $100 - $200,108.36,1,0,Surburban,1,Web,No E-Mail,6
61063,3,4) $350 - $500,469.81,0,1,Surburban,0,Multichannel,No E-Mail,5
61064,11,3) $200 - $350,237.38,1,1,Surburban,1,Phone,Womens E-Mail,5
61065,12,3) $200 - $350,239.61,0,1,Urban,1,Web,No E-Mail,5
61066,1,3) $200 - $350,222.8,1,1,Urban,0,Web,Womens E-Mail,5
61067,8,1) $0 - $100,63.72,1,0,Surburban,0,Web,Mens E-Mail,2
61068,4,3) $200 - $350,289.46,0,1,Urban,0,Phone,Mens E-Mail,3
61069,9,1) $0 - $100,29.99,1,0,Surburban,0,Web,Mens E-Mail,2
61070,10,3) $200 - $350,258.73,1,0,Surburban,1,Phone,Womens E-Mail,4
61071,6,1) $0 - $100,99.5,0,1,Surburban,1,Web,Mens E-Mail,3
61072,7,2) $100 - $200,107.54,0,1,Surburban,0,Phone,Womens E-Mail,1
61073,1,1) $0 - $100,29.99,0,1,Surburban,1,Web,Mens E-Mail,3
61074,4,5) $500 - $750,688.75,1,0,Rural,1,Phone,Womens E-Mail,4
61075,11,2) $100 - $200,149.79,0,1,Urban,1,Web,Mens E-Mail,3
61076,5,3) $200 - $350,332.71,0,1,Urban,1,Phone,No E-Mail,5
61077,11,1) $0 - $100,43.02,0,1,Rural,1,Phone,No E-Mail,5
61078,6,1) $0 - $100,78.27,0,1,Urban,0,Web,Mens E-Mail,3
61079,1,"6) $750 - $1,000",972.3,1,0,Surburban,1,Web,Mens E-Mail,2
61080,10,1) $0 - $100,29.99,1,0,Urban,1,Phone,Womens E-Mail,4
61081,6,4) $350 - $500,365.91,0,1,Urban,0,Web,Womens E-Mail,1
61082,3,5) $500 - $750,632.91,0,1,Urban,1,Web,Mens E-Mail,3
61083,1,1) $0 - $100,74.39,0,1,Surburban,0,Phone,Mens E-Mail,3
61084,1,1) $0 - $100,45.57,1,0,Surburban,0,Phone,Mens E-Mail,2
61085,11,1) $0 - $100,29.99,1,0,Urban,0,Phone,Womens E-Mail,4
61086,3,2) $100 - $200,137.59,1,0,Urban,1,Phone,Mens E-Mail,2
61087,1,5) $500 - $750,523.99,0,1,Surburban,1,Multichannel,No E-Mail,5
61088,5,1) $0 - $100,29.99,0,1,Surburban,0,Phone,Womens E-Mail,1
61089,3,3) $200 - $350,260.66,0,1,Urban,0,Multichannel,Mens E-Mail,3
61090,7,1) $0 - $100,29.99,1,0,Surburban,0,Web,Womens E-Mail,4
61091,6,4) $350 - $500,395.03,0,1,Urban,0,Web,No E-Mail,5
61092,12,2) $100 - $200,130.84,0,1,Surburban,0,Phone,Mens E-Mail,3
61093,2,5) $500 - $750,500.35,1,1,Urban,1,Web,Womens E-Mail,5
61094,8,3) $200 - $350,258.4,1,0,Urban,0,Phone,No E-Mail,6
61095,12,1) $0 - $100,57.59,1,0,Urban,1,Phone,Mens E-Mail,2
61096,9,2) $100 - $200,154.22,1,0,Surburban,0,Web,Womens E-Mail,4
61097,10,1) $0 - $100,58.76,0,1,Urban,1,Web,No E-Mail,5
61098,1,"6) $750 - $1,000",938.37,1,1,Surburban,1,Phone,Womens E-Mail,5
61099,1,1) $0 - $100,29.99,1,0,Surburban,0,Phone,Mens E-Mail,2
61100,4,1) $0 - $100,31.62,1,0,Surburban,1,Phone,Womens E-Mail,4
61101,5,1) $0 - $100,29.99,1,0,Surburban,1,Phone,Womens E-Mail,4
61102,5,1) $0 - $100,57.31,0,1,Urban,0,Web,Womens E-Mail,1
61103,5,3) $200 - $350,211.52,1,1,Surburban,0,Web,Mens E-Mail,5
61104,3,2) $100 - $200,158.09,0,1,Rural,0,Web,Mens E-Mail,3
61105,8,4) $350 - $500,380.12,0,1,Urban,0,Phone,Mens E-Mail,3
61106,9,4) $350 - $500,489.09,1,0,Urban,0,Multichannel,Mens E-Mail,2
61107,1,"6) $750 - $1,000",832.86,1,0,Urban,1,Web,Womens E-Mail,4
61108,4,4) $350 - $500,362.25,0,1,Surburban,0,Multichannel,Mens E-Mail,3
61109,2,3) $200 - $350,289.43,1,1,Rural,0,Web,Mens E-Mail,5
61110,10,1) $0 - $100,43.55,1,0,Rural,0,Phone,Mens E-Mail,2
61111,8,3) $200 - $350,230.37,0,1,Urban,1,Web,No E-Mail,5
61112,2,1) $0 - $100,33.24,0,1,Urban,0,Phone,No E-Mail,5
61113,9,2) $100 - $200,191.88,0,1,Surburban,1,Phone,No E-Mail,5
61114,9,5) $500 - $750,607.26,1,1,Urban,1,Web,Womens E-Mail,5
61115,2,2) $100 - $200,148.34,1,0,Rural,0,Web,Mens E-Mail,2
61116,11,5) $500 - $750,516.81,1,0,Surburban,1,Web,Womens E-Mail,4
61117,9,1) $0 - $100,99.06,0,1,Surburban,1,Web,Mens E-Mail,3
61118,3,5) $500 - $750,513.15,1,1,Surburban,1,Phone,Mens E-Mail,5
61119,6,2) $100 - $200,191.76,1,0,Urban,1,Phone,Mens E-Mail,2
61120,10,2) $100 - $200,187.81,1,0,Surburban,0,Phone,Mens E-Mail,2
61121,10,1) $0 - $100,99.44,0,1,Surburban,0,Phone,Mens E-Mail,3
61122,10,3) $200 - $350,270.2,0,1,Urban,0,Phone,Mens E-Mail,3
61123,1,4) $350 - $500,388.27,0,1,Surburban,0,Phone,No E-Mail,5
61124,1,4) $350 - $500,415.67,0,1,Urban,0,Web,No E-Mail,5
61125,11,1) $0 - $100,43.72,0,1,Surburban,1,Phone,Womens E-Mail,1
61126,9,1) $0 - $100,95.84,0,1,Surburban,1,Web,Womens E-Mail,1
61127,1,5) $500 - $750,548.07,0,1,Urban,1,Phone,Mens E-Mail,3
61128,5,1) $0 - $100,99.82,0,1,Surburban,0,Web,Mens E-Mail,3
61129,7,4) $350 - $500,438.46,0,1,Urban,0,Web,Mens E-Mail,3
61130,2,1) $0 - $100,79.11,1,0,Urban,1,Phone,Womens E-Mail,4
61131,10,2) $100 - $200,193.5,1,0,Urban,1,Phone,Mens E-Mail,2
61132,7,5) $500 - $750,520.13,1,0,Rural,1,Phone,Womens E-Mail,4
61133,9,1) $0 - $100,39.24,0,1,Urban,0,Phone,Womens E-Mail,1
61134,5,1) $0 - $100,67.71,1,0,Urban,1,Web,Mens E-Mail,2
61135,2,1) $0 - $100,29.99,0,1,Surburban,0,Web,Mens E-Mail,3
61136,2,2) $100 - $200,135.56,1,0,Urban,1,Web,Womens E-Mail,4
61137,4,5) $500 - $750,636.04,1,1,Surburban,1,Multichannel,No E-Mail,11
61138,8,3) $200 - $350,224.82,0,1,Surburban,1,Phone,Womens E-Mail,1
61139,6,1) $0 - $100,62.8,0,1,Urban,0,Phone,Womens E-Mail,1
61140,3,5) $500 - $750,672.24,0,1,Rural,1,Web,Womens E-Mail,1
61141,3,"7) $1,000 +",1273.41,1,1,Urban,1,Phone,No E-Mail,11
61142,5,4) $350 - $500,413.44,0,1,Surburban,0,Phone,Mens E-Mail,3
61143,3,3) $200 - $350,246.55,0,1,Urban,1,Multichannel,No E-Mail,5
61144,3,1) $0 - $100,29.99,1,0,Urban,1,Web,No E-Mail,6
61145,10,2) $100 - $200,173.51,0,1,Surburban,1,Phone,Womens E-Mail,1
61146,7,1) $0 - $100,29.99,1,0,Surburban,1,Phone,Womens E-Mail,4
61147,9,3) $200 - $350,232.49,1,0,Urban,1,Multichannel,Womens E-Mail,4
61148,7,1) $0 - $100,33.04,0,1,Urban,1,Web,Mens E-Mail,3
61149,5,2) $100 - $200,153.23,0,1,Rural,1,Web,No E-Mail,5
61150,9,"7) $1,000 +",1115.36,0,1,Surburban,1,Multichannel,Womens E-Mail,1
61151,1,"6) $750 - $1,000",915.45,1,0,Surburban,1,Web,Womens E-Mail,4
61152,9,1) $0 - $100,29.99,0,1,Surburban,1,Phone,Womens E-Mail,1
61153,12,3) $200 - $350,226.39,1,0,Urban,0,Web,Womens E-Mail,4
61154,2,1) $0 - $100,51.02,1,0,Surburban,0,Web,Womens E-Mail,4
61155,2,3) $200 - $350,334.05,0,1,Urban,1,Phone,No E-Mail,5
61156,10,1) $0 - $100,29.99,1,0,Surburban,1,Phone,No E-Mail,6
61157,10,1) $0 - $100,83.86,1,0,Urban,0,Phone,Womens E-Mail,4
61158,6,3) $200 - $350,288.12,1,1,Urban,0,Web,Womens E-Mail,5
61159,1,5) $500 - $750,650.18,0,1,Urban,1,Multichannel,No E-Mail,5
61160,7,1) $0 - $100,81.85,1,0,Surburban,1,Web,Womens E-Mail,4
61161,9,3) $200 - $350,331.02,1,1,Urban,0,Web,No E-Mail,11
61162,1,2) $100 - $200,117.45,1,0,Surburban,0,Phone,Womens E-Mail,4
61163,1,3) $200 - $350,282.64,0,1,Urban,1,Web,No E-Mail,5
61164,1,1) $0 - $100,89.38,1,0,Urban,1,Phone,Womens E-Mail,4
61165,1,3) $200 - $350,261.86,0,1,Surburban,1,Web,Mens E-Mail,3
61166,3,2) $100 - $200,191.14,1,0,Surburban,1,Web,Womens E-Mail,4
61167,9,1) $0 - $100,39.62,1,0,Surburban,1,Web,Mens E-Mail,2
61168,11,3) $200 - $350,238.36,1,0,Surburban,0,Phone,Womens E-Mail,4
61169,1,1) $0 - $100,81.48,0,1,Surburban,0,Phone,No E-Mail,5
61170,3,"7) $1,000 +",1064.2,1,1,Surburban,1,Multichannel,Mens E-Mail,5
61171,5,2) $100 - $200,166.33,1,0,Urban,0,Web,No E-Mail,6
61172,7,5) $500 - $750,600.18,0,1,Surburban,1,Web,No E-Mail,5
61173,2,1) $0 - $100,81.9,0,1,Urban,0,Phone,No E-Mail,5
61174,10,4) $350 - $500,375.7,1,0,Urban,0,Phone,No E-Mail,6
61175,9,1) $0 - $100,85.35,0,1,Urban,0,Phone,Womens E-Mail,1
61176,9,1) $0 - $100,63.47,1,0,Urban,1,Web,No E-Mail,6
61177,1,3) $200 - $350,288.8,1,0,Surburban,1,Multichannel,No E-Mail,6
61178,4,5) $500 - $750,542.69,0,1,Surburban,1,Multichannel,Womens E-Mail,1
61179,10,3) $200 - $350,223.65,0,1,Urban,1,Phone,Mens E-Mail,3
61180,7,1) $0 - $100,29.99,1,0,Surburban,1,Web,No E-Mail,6
61181,5,1) $0 - $100,78.0,0,1,Surburban,1,Phone,Womens E-Mail,1
61182,2,1) $0 - $100,51.48,1,0,Urban,0,Phone,No E-Mail,6
61183,9,2) $100 - $200,182.07,1,0,Urban,1,Phone,No E-Mail,6
61184,10,1) $0 - $100,90.89,1,0,Surburban,1,Phone,No E-Mail,6
61185,6,"6) $750 - $1,000",760.17,0,1,Surburban,1,Multichannel,No E-Mail,5
61186,2,3) $200 - $350,286.31,0,1,Surburban,0,Web,No E-Mail,5
61187,3,3) $200 - $350,219.08,1,0,Urban,0,Web,No E-Mail,6
61188,2,1) $0 - $100,41.44,1,0,Urban,0,Phone,Mens E-Mail,2
61189,7,1) $0 - $100,91.83,0,1,Surburban,1,Web,Womens E-Mail,1
61190,9,1) $0 - $100,86.45,0,1,Urban,0,Phone,Mens E-Mail,3
61191,3,2) $100 - $200,142.6,1,0,Surburban,1,Phone,Womens E-Mail,4
61192,1,1) $0 - $100,79.15,1,0,Surburban,0,Phone,Womens E-Mail,4
61193,11,1) $0 - $100,44.12,1,0,Rural,1,Phone,Womens E-Mail,4
61194,6,2) $100 - $200,194.21,1,0,Surburban,1,Phone,Womens E-Mail,4
61195,1,1) $0 - $100,29.99,0,1,Surburban,0,Web,Mens E-Mail,3
61196,1,2) $100 - $200,129.41,0,1,Surburban,1,Phone,Womens E-Mail,1
61197,1,4) $350 - $500,462.27,1,1,Rural,0,Multichannel,Mens E-Mail,5
61198,4,3) $200 - $350,289.12,1,0,Surburban,1,Phone,Womens E-Mail,4
61199,6,1) $0 - $100,29.99,1,0,Urban,0,Phone,No E-Mail,6
61200,3,"7) $1,000 +",1196.78,1,0,Surburban,1,Phone,No E-Mail,6
61201,10,2) $100 - $200,192.8,0,1,Rural,0,Phone,No E-Mail,5
61202,3,1) $0 - $100,62.07,0,1,Urban,1,Phone,No E-Mail,5
61203,5,1) $0 - $100,84.94,1,0,Urban,1,Web,Mens E-Mail,2
61204,10,1) $0 - $100,30.84,1,0,Urban,0,Web,Womens E-Mail,4
61205,5,1) $0 - $100,49.62,0,1,Urban,0,Phone,No E-Mail,5
61206,3,1) $0 - $100,74.75,1,0,Surburban,1,Phone,No E-Mail,6
61207,8,2) $100 - $200,179.46,1,0,Surburban,1,Phone,No E-Mail,6
61208,5,"6) $750 - $1,000",811.23,1,0,Urban,1,Web,Womens E-Mail,4
61209,12,1) $0 - $100,47.76,0,1,Surburban,0,Web,No E-Mail,5
61210,8,5) $500 - $750,514.07,1,0,Urban,1,Phone,Womens E-Mail,4
61211,10,3) $200 - $350,249.63,1,0,Rural,0,Phone,No E-Mail,6
61212,9,5) $500 - $750,672.27,1,0,Urban,1,Phone,No E-Mail,6
61213,8,5) $500 - $750,581.3,1,0,Rural,1,Phone,Womens E-Mail,4
61214,9,1) $0 - $100,51.54,1,0,Surburban,1,Web,No E-Mail,6
61215,1,2) $100 - $200,163.59,0,1,Urban,0,Phone,Womens E-Mail,1
61216,10,3) $200 - $350,208.25,0,1,Urban,1,Multichannel,Womens E-Mail,1
61217,9,2) $100 - $200,154.54,1,0,Surburban,1,Phone,Mens E-Mail,2
61218,9,1) $0 - $100,84.27,1,0,Surburban,0,Phone,Womens E-Mail,4
61219,4,5) $500 - $750,514.93,1,0,Urban,1,Phone,Womens E-Mail,4
61220,9,1) $0 - $100,60.65,0,1,Surburban,0,Web,No E-Mail,5
61221,3,2) $100 - $200,102.92,1,0,Surburban,1,Phone,Womens E-Mail,4
61222,5,1) $0 - $100,56.67,1,0,Surburban,0,Web,Mens E-Mail,2
61223,5,3) $200 - $350,257.6,0,1,Surburban,0,Multichannel,No E-Mail,5
61224,1,3) $200 - $350,224.15,1,0,Surburban,0,Multichannel,No E-Mail,6
