ID,recency,history_segment,history,mens,womens,zip_code,newbie,channel,segment,DM_category,Label,Score
60953,7,2) $100 - $200,175.92,0,1,Urban,1,Web,No E-Mail,5,0,0.0162
60954,7,4) $350 - $500,356.6,0,1,Surburban,0,Phone,Mens E-Mail,3,0,0.373
60955,8,3) $200 - $350,299.93,0,1,Surburban,0,Web,Mens E-Mail,3,0,0.136
60956,1,3) $200 - $350,214.7,0,1,Urban,1,Multichannel,Womens E-Mail,1,1,0.6022
60957,5,3) $200 - $350,298.48,1,0,Surburban,1,Phone,Womens E-Mail,4,0,0.0168
60958,4,1) $0 - $100,29.99,1,0,Urban,0,Phone,Mens E-Mail,2,0,0.1173
60959,7,1) $0 - $100,29.99,0,1,Urban,1,Web,No E-Mail,5,0,0.0165
60960,11,1) $0 - $100,29.99,1,0,Surburban,1,Web,No E-Mail,6,0,0.0004
60961,3,1) $0 - $100,45.87,1,0,Surburban,1,Phone,Womens E-Mail,4,0,0.0215
60962,6,3) $200 - $350,228.79,0,1,Urban,1,Web,Mens E-Mail,3,0,0.2255
60963,2,"7) $1,000 +",1552.79,1,1,Surburban,1,Multichannel,No E-Mail,11,1,1
60964,11,1) $0 - $100,29.99,1,0,Urban,0,Web,Mens E-Mail,2,0,0.0189
60965,10,1) $0 - $100,54.5,0,1,Urban,1,Phone,Mens E-Mail,3,0,0.022
60966,3,3) $200 - $350,249.61,0,1,Rural,1,Web,No E-Mail,5,0,0.3563
60967,6,2) $100 - $200,155.75,0,1,Surburban,1,Phone,Mens E-Mail,3,0,0.0716
60968,9,3) $200 - $350,216.56,1,0,Surburban,0,Phone,Womens E-Mail,4,0,0.0071
60969,2,3) $200 - $350,260.81,1,0,Surburban,0,Web,Womens E-Mail,4,0,0.1268
60970,10,2) $100 - $200,182.25,0,1,Urban,1,Phone,No E-Mail,5,0,0.0045
60971,7,2) $100 - $200,171.61,0,1,Surburban,0,Web,Womens E-Mail,1,0,0.081
60972,6,1) $0 - $100,93.13,0,1,Surburban,0,Phone,Mens E-Mail,3,0,0.1083
60973,10,3) $200 - $350,248.05,1,0,Rural,1,Multichannel,Mens E-Mail,2,0,0.2582
60974,1,"7) $1,000 +",1374.91,1,1,Surburban,1,Multichannel,Mens E-Mail,5,1,1
60975,6,3) $200 - $350,229.73,1,0,Surburban,0,Phone,Womens E-Mail,4,0,0.024
60976,1,1) $0 - $100,70.73,0,1,Urban,0,Web,Womens E-Mail,1,0,0.3702
60977,3,5) $500 - $750,744.72,0,1,Urban,1,Multichannel,Womens E-Mail,1,1,0.7904
60978,1,1) $0 - $100,76.58,1,0,Urban,1,Phone,No E-Mail,6,0,0.0077
60979,2,3) $200 - $350,212.58,1,0,Urban,1,Multichannel,No E-Mail,6,0,0.0398
60980,6,3) $200 - $350,304.09,1,0,Urban,0,Multichannel,Mens E-Mail,2,0,0.398
60981,11,1) $0 - $100,29.99,0,1,Surburban,0,Phone,Mens E-Mail,3,0,0.0145
60982,1,4) $350 - $500,493.48,0,1,Surburban,1,Multichannel,No E-Mail,5,1,0.6383
60983,7,2) $100 - $200,117.65,0,1,Surburban,0,Phone,Mens E-Mail,3,0,0.0696
60984,8,1) $0 - $100,30.15,1,0,Surburban,1,Phone,Mens E-Mail,2,0,0.0209
60985,11,"6) $750 - $1,000",767.98,0,1,Rural,1,Multichannel,No E-Mail,5,1,0.9094
60986,8,2) $100 - $200,101.74,0,1,Surburban,1,Phone,Womens E-Mail,1,0,0.0177
60987,9,3) $200 - $350,228,0,1,Surburban,1,Phone,Womens E-Mail,1,0,0.0365
60988,1,5) $500 - $750,628.15,1,0,Surburban,1,Web,Mens E-Mail,2,1,0.7279
60989,12,3) $200 - $350,204.22,1,0,Surburban,1,Web,Mens E-Mail,2,0,0.0337
60990,3,1) $0 - $100,93.54,1,0,Surburban,0,Phone,No E-Mail,6,0,0.0087
60991,11,1) $0 - $100,39.26,0,1,Surburban,0,Web,Womens E-Mail,1,0,0.0168
60992,3,2) $100 - $200,150.18,1,0,Surburban,1,Phone,Mens E-Mail,2,0,0.1632
60993,6,1) $0 - $100,29.99,1,0,Rural,1,Phone,Womens E-Mail,4,0,0.0199
60994,2,5) $500 - $750,565.12,1,0,Surburban,1,Multichannel,Womens E-Mail,4,0,0.2767
60995,10,4) $350 - $500,389.23,1,0,Urban,0,Phone,No E-Mail,6,0,0.0063
60996,10,1) $0 - $100,29.99,0,1,Urban,1,Phone,Mens E-Mail,3,0,0.022
60997,5,3) $200 - $350,330.44,1,0,Rural,0,Multichannel,Womens E-Mail,4,0,0.1798
60998,7,3) $200 - $350,271.97,1,0,Surburban,1,Phone,Mens E-Mail,2,0,0.0882
60999,5,2) $100 - $200,150.02,0,1,Rural,0,Phone,Mens E-Mail,3,0,0.2562
61000,12,1) $0 - $100,48.24,0,1,Surburban,1,Web,Mens E-Mail,3,0,0.0187
61001,2,3) $200 - $350,284.97,1,0,Surburban,1,Multichannel,Womens E-Mail,4,0,0.1437
61002,2,4) $350 - $500,449.49,1,0,Rural,1,Web,Womens E-Mail,4,0,0.4999
61003,9,4) $350 - $500,479.08,1,0,Urban,0,Multichannel,Mens E-Mail,2,0,0.4166
61004,3,5) $500 - $750,623.62,1,1,Urban,1,Phone,Womens E-Mail,5,0,0.4157
61005,4,3) $200 - $350,320.91,0,1,Surburban,0,Phone,No E-Mail,5,0,0.0771
61006,4,2) $100 - $200,149.44,0,1,Surburban,0,Web,Mens E-Mail,3,0,0.2078
61007,3,1) $0 - $100,29.99,1,0,Surburban,1,Phone,Womens E-Mail,4,0,0.0215
61008,7,3) $200 - $350,348.78,0,1,Rural,1,Phone,No E-Mail,5,0,0.0703
61009,6,1) $0 - $100,30.77,0,1,Rural,1,Web,Mens E-Mail,3,0,0.271
61010,5,3) $200 - $350,336.42,0,1,Surburban,0,Phone,Womens E-Mail,1,0,0.1782
61011,5,1) $0 - $100,59.4,1,0,Surburban,0,Phone,Womens E-Mail,4,0,0.0108
61012,5,1) $0 - $100,29.99,1,0,Urban,1,Phone,No E-Mail,6,0,0.0018
61013,8,2) $100 - $200,104.79,1,0,Urban,1,Web,Womens E-Mail,4,0,0.0036
61014,2,5) $500 - $750,644.66,1,1,Urban,1,Multichannel,Mens E-Mail,5,1,0.7826
61015,4,1) $0 - $100,98.5,0,1,Surburban,0,Web,Womens E-Mail,1,0,0.1617
61016,6,4) $350 - $500,353.69,1,1,Urban,0,Web,Mens E-Mail,5,1,0.5221
61017,3,2) $100 - $200,163.25,0,1,Surburban,0,Web,No E-Mail,5,0,0.1101
61018,1,2) $100 - $200,105.11,0,1,Rural,0,Web,Womens E-Mail,1,1,0.6224
61019,6,2) $100 - $200,197.04,0,1,Surburban,0,Web,Mens E-Mail,3,0,0.1634
61020,3,4) $350 - $500,359.29,0,1,Surburban,0,Phone,Mens E-Mail,3,1,0.744
61021,1,3) $200 - $350,264.45,0,1,Surburban,0,Multichannel,Mens E-Mail,3,1,0.7723
61022,2,4) $350 - $500,361.9,0,1,Urban,1,Web,No E-Mail,5,0,0.418
61023,3,1) $0 - $100,80.56,1,0,Surburban,0,Web,No E-Mail,6,0,0.0141
61024,11,2) $100 - $200,178.16,0,1,Surburban,0,Phone,No E-Mail,5,0,0.003
61025,12,1) $0 - $100,68.25,0,1,Surburban,1,Phone,No E-Mail,5,0,0.0024
61026,7,2) $100 - $200,103.34,0,1,Urban,1,Phone,Mens E-Mail,3,0,0.046
61027,9,1) $0 - $100,29.99,1,0,Rural,1,Phone,Mens E-Mail,2,0,0.0517
61028,8,5) $500 - $750,674.71,1,0,Urban,1,Phone,No E-Mail,6,0,0.004
61029,1,"7) $1,000 +",1172.27,1,0,Surburban,1,Multichannel,Mens E-Mail,2,1,1
61030,6,1) $0 - $100,83.71,1,0,Urban,0,Web,Mens E-Mail,2,0,0.1366
61031,2,3) $200 - $350,309.05,1,0,Urban,1,Multichannel,No E-Mail,6,0,0.0424
61032,3,3) $200 - $350,309.67,1,0,Urban,0,Web,Mens E-Mail,2,1,0.5442
61033,9,3) $200 - $350,296.23,1,0,Urban,0,Web,No E-Mail,6,0,0.0032
61034,11,1) $0 - $100,76.56,1,0,Urban,0,Web,No E-Mail,6,0,0.0006
61035,3,1) $0 - $100,45.86,1,0,Urban,1,Web,No E-Mail,6,0,0.0092
61036,8,1) $0 - $100,30.07,1,0,Surburban,0,Phone,Mens E-Mail,2,0,0.0316
61037,2,5) $500 - $750,661.16,0,1,Urban,1,Multichannel,Womens E-Mail,1,1,0.7829
61038,12,2) $100 - $200,148.97,0,1,Urban,1,Phone,Mens E-Mail,3,0,0.0111
61039,3,2) $100 - $200,131.61,1,0,Surburban,1,Web,Mens E-Mail,2,0,0.2398
61040,2,"7) $1,000 +",1501.34,0,1,Surburban,1,Web,No E-Mail,5,1,1
61041,5,2) $100 - $200,143.33,1,0,Surburban,0,Phone,Mens E-Mail,2,0,0.0881
61042,3,2) $100 - $200,141.9,1,0,Urban,1,Web,Womens E-Mail,4,0,0.0331
61043,8,5) $500 - $750,550.05,0,1,Surburban,1,Phone,Mens E-Mail,3,0,0.1221
61044,5,2) $100 - $200,102.97,1,0,Urban,0,Phone,No E-Mail,6,0,0.0027
61045,1,"7) $1,000 +",1018.3,1,0,Surburban,1,Multichannel,Womens E-Mail,4,1,0.9999
61046,1,3) $200 - $350,302.45,1,0,Surburban,0,Web,Womens E-Mail,4,0,0.1514
61047,1,2) $100 - $200,160.94,0,1,Urban,1,Phone,Mens E-Mail,3,0,0.2445
61048,5,2) $100 - $200,114.81,0,1,Urban,1,Web,No E-Mail,5,0,0.025
61049,11,3) $200 - $350,250.22,0,1,Urban,1,Web,Womens E-Mail,1,0,0.0249
61050,10,5) $500 - $750,531.37,0,1,Surburban,1,Phone,No E-Mail,5,0,0.0235
61051,12,2) $100 - $200,164.82,1,0,Surburban,0,Phone,Womens E-Mail,4,0,0.0016
61052,5,5) $500 - $750,608.53,1,1,Surburban,1,Web,Womens E-Mail,5,0,0.27
61053,5,1) $0 - $100,67.62,1,0,Urban,1,Phone,Mens E-Mail,2,0,0.0605
61054,1,1) $0 - $100,53.87,0,1,Urban,0,Phone,No E-Mail,5,0,0.0945
61055,11,1) $0 - $100,29.99,0,1,Surburban,0,Phone,No E-Mail,5,0,0.003
61056,6,2) $100 - $200,177.84,0,1,Surburban,0,Web,Womens E-Mail,1,0,0.1211
61057,3,"6) $750 - $1,000",931.72,1,1,Surburban,1,Multichannel,Womens E-Mail,5,1,0.9969
61058,8,2) $100 - $200,169.36,1,0,Surburban,1,Phone,Womens E-Mail,4,0,0.0023
61059,9,2) $100 - $200,129.61,0,1,Rural,1,Web,No E-Mail,5,0,0.0213
61060,11,1) $0 - $100,60.87,1,0,Urban,0,Web,No E-Mail,6,0,0.0006
61061,1,4) $350 - $500,399.28,1,0,Surburban,0,Multichannel,Mens E-Mail,2,1,0.9041
61062,7,2) $100 - $200,108.36,1,0,Surburban,1,Web,No E-Mail,6,0,0.0018
61063,3,4) $350 - $500,469.81,0,1,Surburban,0,Multichannel,No E-Mail,5,1,0.6581
61064,11,3) $200 - $350,237.38,1,1,Surburban,1,Phone,Womens E-Mail,5,0,0.0106
61065,12,3) $200 - $350,239.61,0,1,Urban,1,Web,No E-Mail,5,0,0.0089
61066,1,3) $200 - $350,222.8,1,1,Urban,0,Web,Womens E-Mail,5,0,0.4772
61067,8,1) $0 - $100,63.72,1,0,Surburban,0,Web,Mens E-Mail,2,0,0.0505
61068,4,3) $200 - $350,289.46,0,1,Urban,0,Phone,Mens E-Mail,3,0,0.281
61069,9,1) $0 - $100,29.99,1,0,Surburban,0,Web,Mens E-Mail,2,0,0.0449
61070,10,3) $200 - $350,258.73,1,0,Surburban,1,Phone,Womens E-Mail,4,0,0.0047
61071,6,1) $0 - $100,99.5,0,1,Surburban,1,Web,Mens E-Mail,3,0,0.1146
61072,7,2) $100 - $200,107.54,0,1,Surburban,0,Phone,Womens E-Mail,1,0,0.0505
61073,1,1) $0 - $100,29.99,0,1,Surburban,1,Web,Mens E-Mail,3,0,0.3532
61074,4,5) $500 - $750,688.75,1,0,Rural,1,Phone,Womens E-Mail,4,0,0.1591
61075,11,2) $100 - $200,149.79,0,1,Urban,1,Web,Mens E-Mail,3,0,0.0149
61076,5,3) $200 - $350,332.71,0,1,Urban,1,Phone,No E-Mail,5,0,0.0388
61077,11,1) $0 - $100,43.02,0,1,Rural,1,Phone,No E-Mail,5,0,0.0057
61078,6,1) $0 - $100,78.27,0,1,Urban,0,Web,Mens E-Mail,3,0,0.1632
61079,1,"6) $750 - $1,000",972.3,1,0,Surburban,1,Web,Mens E-Mail,2,1,0.9979
61080,10,1) $0 - $100,29.99,1,0,Urban,1,Phone,Womens E-Mail,4,0,0.002
61081,6,4) $350 - $500,365.91,0,1,Urban,0,Web,Womens E-Mail,1,1,0.5175
61082,3,5) $500 - $750,632.91,0,1,Urban,1,Web,Mens E-Mail,3,1,0.7081
61083,1,1) $0 - $100,74.39,0,1,Surburban,0,Phone,Mens E-Mail,3,0,0.3393
61084,1,1) $0 - $100,45.57,1,0,Surburban,0,Phone,Mens E-Mail,2,0,0.2937
61085,11,1) $0 - $100,29.99,1,0,Urban,0,Phone,Womens E-Mail,4,0,0.0013
61086,3,2) $100 - $200,137.59,1,0,Urban,1,Phone,Mens E-Mail,2,0,0.161
61087,1,5) $500 - $750,523.99,0,1,Surburban,1,Multichannel,No E-Mail,5,0,0.4975
61088,5,1) $0 - $100,29.99,0,1,Surburban,0,Phone,Womens E-Mail,1,0,0.0804
61089,3,3) $200 - $350,260.66,0,1,Urban,0,Multichannel,Mens E-Mail,3,1,0.7114
61090,7,1) $0 - $100,29.99,1,0,Surburban,0,Web,Womens E-Mail,4,0,0.0111
61091,6,4) $350 - $500,395.03,0,1,Urban,0,Web,No E-Mail,5,0,0.2424
61092,12,2) $100 - $200,130.84,0,1,Surburban,0,Phone,Mens E-Mail,3,0,0.017
61093,2,5) $500 - $750,500.35,1,1,Urban,1,Web,Womens E-Mail,5,1,0.5183
61094,8,3) $200 - $350,258.4,1,0,Urban,0,Phone,No E-Mail,6,0,0.0022
61095,12,1) $0 - $100,57.59,1,0,Urban,1,Phone,Mens E-Mail,2,0,0.0093
61096,9,2) $100 - $200,154.22,1,0,Surburban,0,Web,Womens E-Mail,4,0,0.005
61097,10,1) $0 - $100,58.76,0,1,Urban,1,Web,No E-Mail,5,0,0.0075
61098,1,"6) $750 - $1,000",938.37,1,1,Surburban,1,Phone,Womens E-Mail,5,1,0.9937
61099,1,1) $0 - $100,29.99,1,0,Surburban,0,Phone,Mens E-Mail,2,0,0.2938
61100,4,1) $0 - $100,31.62,1,0,Surburban,1,Phone,Womens E-Mail,4,0,0.0095
61101,5,1) $0 - $100,29.99,1,0,Surburban,1,Phone,Womens E-Mail,4,0,0.0071
61102,5,1) $0 - $100,57.31,0,1,Urban,0,Web,Womens E-Mail,1,0,0.1232
61103,5,3) $200 - $350,211.52,1,1,Surburban,0,Web,Mens E-Mail,5,0,0.2494
61104,3,2) $100 - $200,158.09,0,1,Rural,0,Web,Mens E-Mail,3,1,0.6338
61105,8,4) $350 - $500,380.12,0,1,Urban,0,Phone,Mens E-Mail,3,0,0.2381
61106,9,4) $350 - $500,489.09,1,0,Urban,0,Multichannel,Mens E-Mail,2,0,0.42
61107,1,"6) $750 - $1,000",832.86,1,0,Urban,1,Web,Womens E-Mail,4,1,0.972
61108,4,4) $350 - $500,362.25,0,1,Surburban,0,Multichannel,Mens E-Mail,3,1,0.7832
61109,2,3) $200 - $350,289.43,1,1,Rural,0,Web,Mens E-Mail,5,1,0.7795
61110,10,1) $0 - $100,43.55,1,0,Rural,0,Phone,Mens E-Mail,2,0,0.0753
61111,8,3) $200 - $350,230.37,0,1,Urban,1,Web,No E-Mail,5,0,0.0196
61112,2,1) $0 - $100,33.24,0,1,Urban,0,Phone,No E-Mail,5,0,0.0806
61113,9,2) $100 - $200,191.88,0,1,Surburban,1,Phone,No E-Mail,5,0,0.0047
61114,9,5) $500 - $750,607.26,1,1,Urban,1,Web,Womens E-Mail,5,0,0.0956
61115,2,2) $100 - $200,148.34,1,0,Rural,0,Web,Mens E-Mail,2,1,0.6143
61116,11,5) $500 - $750,516.81,1,0,Surburban,1,Web,Womens E-Mail,4,0,0.0069
61117,9,1) $0 - $100,99.06,0,1,Surburban,1,Web,Mens E-Mail,3,0,0.0366
61118,3,5) $500 - $750,513.15,1,1,Surburban,1,Phone,Mens E-Mail,5,0,0.4753
61119,6,2) $100 - $200,191.76,1,0,Urban,1,Phone,Mens E-Mail,2,0,0.059
61120,10,2) $100 - $200,187.81,1,0,Surburban,0,Phone,Mens E-Mail,2,0,0.0271
61121,10,1) $0 - $100,99.44,0,1,Surburban,0,Phone,Mens E-Mail,3,0,0.0338
61122,10,3) $200 - $350,270.2,0,1,Urban,0,Phone,Mens E-Mail,3,0,0.0748
61123,1,4) $350 - $500,388.27,0,1,Surburban,0,Phone,No E-Mail,5,0,0.4555
61124,1,4) $350 - $500,415.67,0,1,Urban,0,Web,No E-Mail,5,1,0.5812
61125,11,1) $0 - $100,43.72,0,1,Surburban,1,Phone,Womens E-Mail,1,0,0.0068
61126,9,1) $0 - $100,95.84,0,1,Surburban,1,Web,Womens E-Mail,1,0,0.0264
61127,1,5) $500 - $750,548.07,0,1,Urban,1,Phone,Mens E-Mail,3,1,0.6358
61128,5,1) $0 - $100,99.82,0,1,Surburban,0,Web,Mens E-Mail,3,0,0.1671
61129,7,4) $350 - $500,438.46,0,1,Urban,0,Web,Mens E-Mail,3,1,0.5117
61130,2,1) $0 - $100,79.11,1,0,Urban,1,Phone,Womens E-Mail,4,0,0.0242
61131,10,2) $100 - $200,193.5,1,0,Urban,1,Phone,Mens E-Mail,2,0,0.0177
61132,7,5) $500 - $750,520.13,1,0,Rural,1,Phone,Womens E-Mail,4,0,0.0615
61133,9,1) $0 - $100,39.24,0,1,Urban,0,Phone,Womens E-Mail,1,0,0.0244
61134,5,1) $0 - $100,67.71,1,0,Urban,1,Web,Mens E-Mail,2,0,0.0948
61135,2,1) $0 - $100,29.99,0,1,Surburban,0,Web,Mens E-Mail,3,0,0.412
61136,2,2) $100 - $200,135.56,1,0,Urban,1,Web,Womens E-Mail,4,0,0.0375
61137,4,5) $500 - $750,636.04,1,1,Surburban,1,Multichannel,No E-Mail,11,1,0.9274
61138,8,3) $200 - $350,224.82,0,1,Surburban,1,Phone,Womens E-Mail,1,0,0.041
61139,6,1) $0 - $100,62.8,0,1,Urban,0,Phone,Womens E-Mail,1,0,0.0785
61140,3,5) $500 - $750,672.24,0,1,Rural,1,Web,Womens E-Mail,1,1,0.8447
61141,3,"7) $1,000 +",1273.41,1,1,Urban,1,Phone,No E-Mail,11,1,1
61142,5,4) $350 - $500,413.44,0,1,Surburban,0,Phone,Mens E-Mail,3,1,0.5002
61143,3,3) $200 - $350,246.55,0,1,Urban,1,Multichannel,No E-Mail,5,0,0.2474
61144,3,1) $0 - $100,29.99,1,0,Urban,1,Web,No E-Mail,6,0,0.0092
61145,10,2) $100 - $200,173.51,0,1,Surburban,1,Phone,Womens E-Mail,1,0,0.0156
61146,7,1) $0 - $100,29.99,1,0,Surburban,1,Phone,Womens E-Mail,4,0,0.0045
61147,9,3) $200 - $350,232.49,1,0,Urban,1,Multichannel,Womens E-Mail,4,0,0.0131
61148,7,1) $0 - $100,33.04,0,1,Urban,1,Web,Mens E-Mail,3,0,0.0754
61149,5,2) $100 - $200,153.23,0,1,Rural,1,Web,No E-Mail,5,0,0.0702
61150,9,"7) $1,000 +",1115.36,0,1,Surburban,1,Multichannel,Womens E-Mail,1,1,0.9999
61151,1,"6) $750 - $1,000",915.45,1,0,Surburban,1,Web,Womens E-Mail,4,1,0.9776
61152,9,1) $0 - $100,29.99,0,1,Surburban,1,Phone,Womens E-Mail,1,0,0.0163
61153,12,3) $200 - $350,226.39,1,0,Urban,0,Web,Womens E-Mail,4,0,0.0058
61154,2,1) $0 - $100,51.02,1,0,Surburban,0,Web,Womens E-Mail,4,0,0.0586
61155,2,3) $200 - $350,334.05,0,1,Urban,1,Phone,No E-Mail,5,0,0.1242
61156,10,1) $0 - $100,29.99,1,0,Surburban,1,Phone,No E-Mail,6,0,0.0005
61157,10,1) $0 - $100,83.86,1,0,Urban,0,Phone,Womens E-Mail,4,0,0.0031
61158,6,3) $200 - $350,288.12,1,1,Urban,0,Web,Womens E-Mail,5,0,0.1837
61159,1,5) $500 - $750,650.18,0,1,Urban,1,Multichannel,No E-Mail,5,1,0.5487
61160,7,1) $0 - $100,81.85,1,0,Surburban,1,Web,Womens E-Mail,4,0,0.0073
61161,9,3) $200 - $350,331.02,1,1,Urban,0,Web,No E-Mail,11,0,0.4897
61162,1,2) $100 - $200,117.45,1,0,Surburban,0,Phone,Womens E-Mail,4,0,0.0421
61163,1,3) $200 - $350,282.64,0,1,Urban,1,Web,No E-Mail,5,0,0.2084
61164,1,1) $0 - $100,89.38,1,0,Urban,1,Phone,Womens E-Mail,4,0,0.0287
61165,1,3) $200 - $350,261.86,0,1,Surburban,1,Web,Mens E-Mail,3,1,0.5604
61166,3,2) $100 - $200,191.14,1,0,Surburban,1,Web,Womens E-Mail,4,0,0.0341
61167,9,1) $0 - $100,39.62,1,0,Surburban,1,Web,Mens E-Mail,2,0,0.0298
61168,11,3) $200 - $350,238.36,1,0,Surburban,0,Phone,Womens E-Mail,4,0,0.003
61169,1,1) $0 - $100,81.48,0,1,Surburban,0,Phone,No E-Mail,5,0,0.0957
61170,3,"7) $1,000 +",1064.2,1,1,Surburban,1,Multichannel,Mens E-Mail,5,1,1
61171,5,2) $100 - $200,166.33,1,0,Urban,0,Web,No E-Mail,6,0,0.0045
61172,7,5) $500 - $750,600.18,0,1,Surburban,1,Web,No E-Mail,5,0,0.089
61173,2,1) $0 - $100,81.9,0,1,Urban,0,Phone,No E-Mail,5,0,0.0807
61174,10,4) $350 - $500,375.7,1,0,Urban,0,Phone,No E-Mail,6,0,0.0062
61175,9,1) $0 - $100,85.35,0,1,Urban,0,Phone,Womens E-Mail,1,0,0.0245
61176,9,1) $0 - $100,63.47,1,0,Urban,1,Web,No E-Mail,6,0,0.0009
61177,1,3) $200 - $350,288.8,1,0,Surburban,1,Multichannel,No E-Mail,6,0,0.0499
61178,4,5) $500 - $750,542.69,0,1,Surburban,1,Multichannel,Womens E-Mail,1,1,0.5326
61179,10,3) $200 - $350,223.65,0,1,Urban,1,Phone,Mens E-Mail,3,0,0.0488
